,Year ,Jet Fuel_avi_BTU,Gasoline_avi_BTU,LDV_SWB_road_BTU,LDV_LWB_road_BTU,Combination_Truck_road_BTU,Bus_Road_BTU,Passenger_Car_EFF,Passenger_Car_Age,Demand_petroleum_transportation)mil_lit,Average_MC/15000_miles(dollars),CO2_emission_million_metric_tons,CO_emission_million_shots_tons,NOx_emission_million_shots_tons,SOx_emission_million_shots_tons,Volatile_compound_million_shots_tons,overall_emission
0,0.0,0.0,0.40444001725215717,0.0,0.4780825392367236,0.0,0.03273365984156145,0.0,0.4999999999999987,0.0,0.7261755334556339,0.703016665791975,0.3205198930050223,0.7295447510189064,0.44249802559357543,0.2950091581367651,0.6497138828957145
1,0.047619047619047616,0.10645491527250188,1.0,0.4112285392581317,0.0,0.028402597057757432,0.0,0.04393115289392525,0.4999999999999987,0.06378793402330722,0.7261755334556339,0.703016665791975,1.0,0.9893039366051831,1.0,1.0,0.9062274475425819
2,0.14285714285714285,0.06617904577170725,0.8549875520886687,0.5555876525370668,0.09603785795682351,0.10371910719232955,0.1391170086755267,0.0878623057878505,0.4999999999999987,0.28501221683885286,0.0,0.0,0.8970273527613402,0.9620775934183765,0.8914276748640653,1.0,0.0
3,0.23809523809523808,0.19565897842075483,1.0,0.46346945752006685,0.19218105842674307,0.26260404484154426,0.11836890060662984,0.03294836467044374,0.4999999999999987,0.3154303214077131,0.01361398088249493,0.0830942509432089,0.877346438976912,1.0,0.8189777112100293,1.0,0.016970254570563944
4,0.3333333333333333,0.4106127810555243,0.888778617201407,0.49776609282728906,0.3853553972707092,0.30246469022765293,0.008042092175131084,0.0878623057878505,0.4999999999999987,0.3608848961403135,0.061195326832094235,0.12050044026147437,0.8209826715066587,0.9285308491346325,0.7293901499211153,0.8930615652003857,0.10183715982172298
5,0.42857142857142855,0.6930868757240228,0.6334683474607172,0.4538172384668248,0.4330701555600699,0.39005349765166086,0.04473970195111813,0.07687951756436938,0.4999999999999987,0.4602391157942219,0.2882881143188182,0.35916152056400114,0.6718487371876665,0.9161061290295422,0.7215225901286564,0.6786553840394263,0.34179367992730936
6,0.44761904761904764,0.5783172192138797,0.6372229102510216,0.33471959853206285,0.48620028505853163,0.4178701528505583,0.026141766125527464,0.1098278822348135,0.4999999999999987,0.4373887772685168,0.38823983779086607,0.33035792383184914,0.6253780845729299,0.8973610078275146,0.6975043240086334,0.6441031284411047,0.28592784951025163
7,0.4666666666666667,0.6103519595086075,0.48704039863885107,0.36021702468077,0.5415049250697371,0.434650174474315,0.034580581517218836,0.098845094011332,0.4999999999999987,0.48133207137010253,0.42268996813749155,0.3647872458291784,0.5843509489146222,0.9017366701253939,0.6874868423308443,0.6108522760668252,0.31776098591742974
8,0.4857142857142857,0.659134289312751,0.3143305102848549,0.39687843834142705,0.5806875864707287,0.45654004784018426,0.06518759654188905,0.12081067045829462,0.4999999999999987,0.509348461080961,0.4196002703485565,0.3841427146930706,0.5514857975682511,0.9068686197340186,0.6769169467835842,0.5889887019029156,0.3332759594551185
9,0.5047619047619047,0.7319505441956949,0.30682138470424636,0.4076572766193752,0.6127341390551798,0.4946607092611421,0.09547511646137631,0.13179345868177614,0.4999999999999987,0.5446568851248519,0.43690257796659265,0.44271206899567883,0.5360570143205255,0.9065444966008424,0.6623106509949754,0.5785774761105777,0.40790880028647775
10,0.5238095238095238,0.773864676580727,0.38566720330063586,0.4200481606968761,0.6368236910201012,0.5400765413088255,0.08809521517259038,0.07687951756436938,0.0,0.5700217085664637,0.4784590132277687,0.49300975572777234,0.49142939042138767,0.8852063903334043,0.5690287572817763,0.5442204309958626,0.44918638738349853
11,0.5428571428571428,0.8244571204773833,0.39129904748609234,0.43876693526133725,0.6679811529233609,0.5532888828532835,0.09864382823891803,0.098845094011332,0.0,0.6103099348290477,0.5099739306749058,0.5659852818548126,0.5051213752198307,0.8761504575181124,0.5610335535151085,0.4680385637160718,0.5415062992502346
12,0.5619047619047619,0.8878104513860825,0.405190929810218,0.46139514283186184,0.7139581638089524,0.5616691301651392,0.12330377632777428,0.13179345868177614,0.0,0.6373480096043496,0.5615718837501207,0.593832549026468,0.4330589647487237,0.8716989147535243,0.5765838456488397,0.3807760938956566,0.5555410938305829
13,0.580952380952381,0.8400596990759449,0.4769030791050294,0.5023219461552481,0.7358667188266085,0.7615872902827285,0.13152378907699144,0.15375903512873876,0.0,0.6976040177851005,0.5901515882977696,0.6485605490731182,0.41640561569352946,0.8524029651938464,0.5801599200977489,0.3320552011165424,0.6214673202790414
14,0.6,1.0,0.6049336702544049,0.5356439348780022,0.7829351506241554,0.8061495179248075,0.1949069767204785,0.2086729762461455,0.0,0.7604279726095604,0.6120884425992082,0.7164307914793367,0.41088419058267606,0.7712092154894443,0.5323072817716106,0.2987720088721457,0.7044616547066015
15,0.6190476190476191,0.9209569223308817,0.5576261790965712,0.53343457745134,0.786360408222354,0.782488611679844,0.17436501129885054,0.20775284401784047,0.0,0.7616480957492447,0.6604422129960413,0.7978587547889368,0.41039295307893003,0.7579034420054426,0.49131088647551896,0.24947485474542533,0.8090761430809162
16,0.638095238095238,0.8143268945822894,0.3564773548874155,0.544238039690145,0.7982465198044404,0.776155118687384,0.12289806369735207,0.29885017270619335,0.0,0.7927801299157975,0.7053973158250458,0.7566447410621089,0.35639019847289094,0.70118606003237,0.47710335532106884,0.22337657956064366,0.7346412475938892
